epoch,train_runtime,train_samples_per_second,train_steps_per_second,train_loss,cosim
131,89.3945,7.081,0.895,6.088520749472082e-05,0.2268871
132,89.42,7.079,0.895,5.793399759568274e-05,0.22722487
133,89.3976,7.081,0.895,5.513883661478758e-05,0.22756122
134,89.056,7.108,0.898,5.248835077509284e-05,0.22789618
135,89.028,7.11,0.899,4.997007781639695e-05,0.22822948
136,89.0445,7.109,0.898,4.7589579480700195e-05,0.22856127
137,89.0573,7.108,0.898,4.533179453574121e-05,0.228891
138,89.0897,7.105,0.898,4.318630963098258e-05,0.22921924
139,89.1308,7.102,0.898,4.1151230107061565e-05,0.22954561
140,90.275,7.012,0.886,3.922380856238306e-05,0.22987036
141,89.0456,7.109,0.898,3.7388733471743765e-05,0.23019266
142,94.7305,6.682,0.845,3.565982333384454e-05,0.2305135
143,96.5976,6.553,0.828,3.400744462851435e-05,0.23083219
144,93.3519,6.781,0.857,3.244240651838482e-05,0.23114854
145,89.4236,7.079,0.895,3.095801221206784e-05,0.2314627
146,89.2705,7.091,0.896,2.9545495635829866e-05,0.23177512
147,90.0226,7.032,0.889,2.820392546709627e-05,0.23208496
148,92.7407,6.825,0.863,2.692829875741154e-05,0.23239224
149,94.9637,6.666,0.842,2.571654040366411e-05,0.23269789
150,93.0469,6.803,0.86,2.456867368891835e-05,0.23300098
151,96.4791,6.561,0.829,2.347555273445323e-05,0.23330228
152,98.0407,6.457,0.816,2.243905619252473e-05,0.23360099
153,104.2178,6.074,0.768,2.1444082085508855e-05,0.23389632
154,97.3662,6.501,0.822,2.0504988788161428e-05,0.23418947
155,89.3086,7.088,0.896,1.9614874327089636e-05,0.23448041
156,89.4804,7.074,0.894,1.8761084356810896e-05,0.23476905
157,90.0816,7.027,0.888,1.7950496112462132e-05,0.23505415
158,91.0726,6.951,0.878,1.718199928291142e-05,0.23533739
159,94.0087,6.733,0.851,1.6448147653136404e-05,0.2356183
160,95.9572,6.597,0.834,1.575005881022662e-05,0.23589589
161,93.7952,6.749,0.853,1.508437271695584e-05,0.23617147
162,92.2277,6.863,0.867,1.4452960749622435e-05,0.23644376
163,91.6625,6.906,0.873,1.38465067720972e-05,0.2367134
164,95.977,6.595,0.834,1.327040372416377e-05,0.23697925
165,96.2146,6.579,0.831,1.2727272405754775e-05,0.23724316
166,93.4371,6.775,0.856,1.2200718629173934e-05,0.23750359
167,91.8859,6.889,0.871,1.170694304164499e-05,0.23776312
168,94.2585,6.716,0.849,1.1230306699872018e-05,0.23801859
169,94.1677,6.722,0.85,1.0773973190225661e-05,0.2382711
170,93.916,6.74,0.852,1.0342412133468315e-05,0.2385222
171,94.5446,6.695,0.846,9.934689296642319e-06,0.23876847
172,94.1299,6.725,0.85,9.540934843244032e-06,0.23901318
173,95.8033,6.607,0.835,9.165806113742292e-06,0.23925394
174,94.2772,6.714,0.849,8.804831304587424e-06,0.23949312
175,89.4381,7.078,0.894,8.463599806418643e-06,0.23972858
176,94.2095,6.719,0.849,8.13913211459294e-06,0.23996273
177,94.217,6.719,0.849,7.8254692198243e-06,0.24019228
178,94.2412,6.717,0.849,7.525401451857761e-06,0.24041851
179,93.8815,6.743,0.852,7.239862316055223e-06,0.24064381
180,96.8096,6.539,0.826,6.972577830310911e-06,0.24086678
181,98.2186,6.445,0.815,6.711624882882461e-06,0.2410881
182,101.0468,6.264,0.792,6.457563722506166e-06,0.24130364
183,98.6222,6.418,0.811,6.22157022007741e-06,0.24151741
184,98.1881,6.447,0.815,5.993957893224433e-06,0.24172926
185,103.7742,6.1,0.771,5.775659519713372e-06,0.24193859
186,92.3188,6.857,0.867,5.564437742577866e-06,0.24214427
187,88.9243,7.118,0.9,5.366067853174172e-06,0.24234651
188,88.9395,7.117,0.899,5.170491931494325e-06,0.24254467
189,88.987,7.113,0.899,4.990748857380823e-06,0.24274303
190,88.9449,7.117,0.899,4.811563121620565e-06,0.24293451
191,88.9796,7.114,0.899,4.6439261495834215e-06,0.24312511
192,88.9849,7.114,0.899,4.483555312617682e-06,0.243313
