epoch,train_runtime,train_samples_per_second,train_steps_per_second,train_loss,epoch_val
120,16.4709,38.431,2.429,0.00033059436827898026,1.0,0.224591
121,20.3091,31.168,1.97,0.00031024531926959753,1.0,0.22494265
122,16.5307,38.292,2.42,0.0002912425436079502,1.0,0.22529292
123,16.5022,38.358,2.424,0.00027349519077688453,1.0,0.2256416
124,16.5059,38.35,2.423,0.00025691664777696135,1.0,0.22598875
125,16.4795,38.411,2.427,0.0002414247952401638,1.0,0.22633412
126,23.9013,26.484,1.674,0.0002269513439387083,1.0,0.22667757
127,16.4639,38.448,2.43,0.00021340379025787116,1.0,0.22701827
128,16.5073,38.347,2.423,0.00020073445048183203,1.0,0.22735702
129,16.6144,38.099,2.408,0.00018886859761551021,1.0,0.22769257
130,17.0887,37.042,2.341,0.00017776574240997435,1.0
