epoch,train_runtime,train_samples_per_second,train_steps_per_second,train_loss,cosim
1,15.7228,40.26,2.544,0.9370911598205567,0.29454604
2,15.9897,39.588,2.502,0.9445270538330078,0.294394
3,15.9553,39.673,2.507,0.9392474174499512,0.29423955
4,15.9713,39.634,2.505,0.9339993476867676,0.29408282
5,16.0014,39.559,2.5,0.928782844543457,0.29392383
6,16.0709,39.388,2.489,0.9235972404479981,0.29376256
7,16.2611,38.927,2.46,0.9184420585632325,0.2935991
8,16.2448,38.966,2.462,0.9133172035217285,0.29343346
9,16.0291,39.491,2.495,0.9082221031188965,0.29326567
10,16.0807,39.364,2.487,0.9031565666198731,0.29309583
11,16.1145,39.281,2.482,0.8981205940246582,0.2929239
12,16.096,39.327,2.485,0.8931132316589355,0.29274994
13,16.1274,39.25,2.48,0.8881346702575683,0.29257396
14,15.9937,39.578,2.501,0.8831844329833984,0.29239604
15,15.997,39.57,2.5,0.8782620429992676,0.29221615
16,16.0023,39.557,2.5,0.8733675956726075,0.29203436
17,16.0963,39.326,2.485,0.8685006141662598,0.29185075
18,16.1263,39.253,2.48,0.8636609077453613,0.2916653
19,16.0963,39.326,2.485,0.8588480949401855,0.29147798
20,15.9933,39.579,2.501,0.8540616989135742,0.2912889
21,16.0337,39.479,2.495,0.8493022918701172,0.29109812
22,16.4166,38.558,2.437,0.8445688247680664,0.2909056
23,16.3727,38.662,2.443,0.8398612976074219,0.2907114
24,16.158,39.176,2.476,0.8351795196533203,0.29051554
25,16.0879,39.346,2.486,0.8305232048034668,0.29031804
26,16.0058,39.548,2.499,0.8258922576904297,0.29011893
27,16.1541,39.185,2.476,0.8212864875793457,0.28991827
28,16.1404,39.218,2.478,0.816705322265625,0.28971604
29,16.1681,39.151,2.474,0.8121490478515625,0.2895123
30,16.1304,39.243,2.48,0.8076171875,0.28930706
31,16.1776,39.128,2.473,0.8031095504760742,0.2891003
32,16.0635,39.406,2.49,0.7986257553100586,0.28889212
33,15.9796,39.613,2.503,0.7941662311553955,0.2886825
34,16.0759,39.376,2.488,0.789730167388916,0.28847146
35,16.1888,39.101,2.471,0.7853177547454834,0.28825906
36,16.3274,38.769,2.45,0.7809285163879395,0.28804532
37,16.0351,39.476,2.495,0.7765624046325683,0.28783026
38,16.0867,39.349,2.487,0.7722195625305176,0.28761384
39,16.1902,39.098,2.471,0.7678993701934814,0.28739616
40,16.2219,39.021,2.466,0.7636020183563232,0.28717718
41,16.1707,39.145,2.474,0.7593270778656006,0.28695694
42,16.432,38.522,2.434,0.755074405670166,0.28673553
43,16.515,38.329,2.422,0.7508439064025879,0.28651288
44,16.1125,39.286,2.483,0.746636152267456,0.28628907
45,16.1807,39.121,2.472,0.7424495697021485,0.28606406
46,16.1468,39.203,2.477,0.7382851123809815,0.28583795
47,16.1448,39.208,2.478,0.7341423511505127,0.2856107
48,16.1436,39.211,2.478,0.7300211906433105,0.2853823
49,16.1181,39.273,2.482,0.7259214878082275,0.28515285
50,16.0684,39.394,2.489,0.7218429565429687,0.28492233
51,16.225,39.014,2.465,0.7177859306335449,0.2846907
52,16.3212,38.784,2.451,0.7137495517730713,0.28445807
